Modelo,Unidad,Tiempo_Min,FV_1.60,FV_1.65,FV_1.70,FV_1.75,FV_1.80
LBS12-100,A,5,330.8,291.7,261.6,237.0,210.0
LBS12-100,W,5,578.9,519.3,470.9,431.3,386.4
LBS12-100,A,10,232.5,215.1,199.5,186.3,167.6
LBS12-100,W,10,418.2,391.4,366.5,344.9,312.2
LBS12-100,A,15,188.5,178.5,165.1,154.0,143.7
LBS12-100,W,15,345.1,330.2,307.7,288.7,271.0
LBS12-100,A,20,154.3,146.6,138.9,130.8,123.5
LBS12-100,W,20,286.6,274.5,261.8,247.8,235.1
LBS12-100,A,30,112.3,106.7,101.8,96.5,92.1
LBS12-100,W,30,211.1,201.9,193.6,184.3,176.8
LBS12-100,A,45,80.5,77.9,74.6,71.3,68.7
LBS12-100,W,45,152.9,147.7,143.0,137.3,132.7
LBS12-100,A,60,63.8,63.5,59.5,57.1,55.1
LBS12-100,W,60,122.4,119.1,115.0,110.8,107.2
LBS12-100,A,120,37.5,36.3,35.0,34.4,33.1
LBS12-100,W,120,71.1,69.2,67.6,67.6,63.8
LBS12-100,A,180,27.6,26.7,26.0,25.4,24.6
LBS12-100,W,180,52.7,51.3,50.1,50.1,47.7
LBS12-100,A,240,22.2,21.7,21.2,20.7,20.2
LBS12-100,W,240,42.6,42.7,41.0,41.0,39.2
LBS12-100,A,300,18.6,18.3,17.9,17.6,17.2
LBS12-100,W,300,35.9,35.5,33.4,34.3,33.6
LBS12-100,A,360,16.2,15.9,15.6,15.3,15.0
LBS12-100,W,360,31.3,31.1,30.4,29.9,29.4
LBS12-100,A,480,12.7,12.6,12.4,12.2,12.0
LBS12-100,W,480,24.8,24.9,24.3,24.0,23.7
LBS12-100,A,600,10.5,10.3,10.2,10.1,10.0
LBS12-100,W,600,20.5,20.3,20.1,19.9,19.8
LBS12-100,A,1200,5.45,5.4,5.34,5.29,5.2
LBS12-100,W,1200,10.7,10.6,10.5,10.4,10.3
